ProductID,ProductName,Category,TargetAgeGroup,ComplexityScore,StandardCost,PrimaryMaterial
PT-062,Bengal Tiger Cub,Plush Toys,9-12 yrs,2,287.11,Fabric
PT-063,Sleepy Panda Pro,Plush Toys,9-12 yrs,2,322.3,Fabric
PT-064,Peacock Pal Pro,Plush Toys,0-2 yrs,2,165.04,Fabric
PT-065,Teddy Classic Mini,Plush Toys,9-12 yrs,2,364.44,Fabric
PT-066,Unicorn Dream Mini,Plush Toys,9-12 yrs,2,516.3,Fabric
PT-067,Baby Dino XL,Plush Toys,13+ yrs,3,256.09,Fabric
PT-068,Monkey Mischief XL,Plush Toys,9-12 yrs,3,110.26,Fabric
PT-069,Polar Bear Hug Junior,Plush Toys,0-2 yrs,4,317.04,Fabric
PT-070,Bunny Bliss Junior,Plush Toys,6-8 yrs,4,137.23,Fabric
PT-071,Cuddly Elephant Classic,Plush Toys,3-5 yrs,3,320.82,Fabric
PT-072,Bengal Tiger Cub Classic,Plush Toys,6-8 yrs,4,357.28,Fabric
PT-073,Sleepy Panda Neo,Plush Toys,6-8 yrs,3,220.14,Fabric
PT-074,Peacock Pal Neo,Plush Toys,13+ yrs,2,334.3,Fabric
PT-075,Teddy Classic Max,Plush Toys,13+ yrs,3,109.73,Fabric
PT-076,Unicorn Dream Max,Plush Toys,3-5 yrs,4,503.27,Fabric
PT-077,Baby Dino Lite,Plush Toys,6-8 yrs,2,349.32,Fabric
PT-078,Monkey Mischief Lite,Plush Toys,3-5 yrs,2,402.51,Fabric
PT-079,Polar Bear Hug 2.0,Plush Toys,0-2 yrs,2,396.74,Fabric
PT-080,Bunny Bliss 2.0,Plush Toys,9-12 yrs,4,445.89,Fabric
BG-081,Snakes & Ladders Deluxe,Board Games,3-5 yrs,3,841.21,Cardboard
BG-082,Ludo Champion,Board Games,13+ yrs,4,226.19,Cardboard
BG-083,Trade Tycoon Pro,Board Games,0-2 yrs,5,459.65,Cardboard
BG-084,Word Wizard Pro,Board Games,3-5 yrs,7,765.78,Cardboard
BG-085,Chess Master Mini,Board Games,13+ yrs,4,867.03,Cardboard
BG-086,Carrom Junior Mini,Board Games,9-12 yrs,4,560.54,Cardboard
BG-087,Quiz Quest XL,Board Games,13+ yrs,4,855.23,Cardboard
BG-088,Memory Match XL,Board Games,0-2 yrs,3,231.44,Cardboard
BG-089,Strategy Siege Junior,Board Games,3-5 yrs,5,894.66,Cardboard
BG-090,Treasure Trail Junior,Board Games,0-2 yrs,7,724.03,Cardboard
BG-091,Snakes & Ladders Deluxe Classic,Board Games,13+ yrs,7,825.41,Cardboard
BG-092,Ludo Champion Classic,Board Games,0-2 yrs,5,421.15,Cardboard
BG-093,Trade Tycoon Neo,Board Games,0-2 yrs,6,663.16,Cardboard
BG-094,Word Wizard Neo,Board Games,6-8 yrs,4,266.13,Cardboard
BG-095,Chess Master Max,Board Games,9-12 yrs,6,383.72,Cardboard
BG-096,Carrom Junior Max,Board Games,0-2 yrs,7,368.68,Cardboard
BG-097,Quiz Quest Lite,Board Games,0-2 yrs,3,781.78,Cardboard
BG-098,Memory Match Lite,Board Games,13+ yrs,3,325.49,Cardboard
BG-099,Strategy Siege 2.0,Board Games,3-5 yrs,5,812.19,Cardboard
BG-100,Treasure Trail 2.0,Board Games,0-2 yrs,3,417.23,Cardboard
