Date,Year,Quarter,Month,MonthName,DayOfWeek,IsWeekend,Shift,ShiftStart,ShiftEnd,SeasonalIndex
2024-01-30,2024,Q1,1,January,Tuesday,No,Night,22:00,06:00,0.853
2024-01-31,2024,Q1,1,January,Wednesday,No,Morning,06:00,14:00,0.853
2024-01-31,2024,Q1,1,January,Wednesday,No,Afternoon,14:00,22:00,0.853
2024-01-31,2024,Q1,1,January,Wednesday,No,Night,22:00,06:00,0.853
2024-02-01,2024,Q1,2,February,Thursday,No,Morning,06:00,14:00,0.853
2024-02-01,2024,Q1,2,February,Thursday,No,Afternoon,14:00,22:00,0.853
2024-02-01,2024,Q1,2,February,Thursday,No,Night,22:00,06:00,0.853
2024-02-02,2024,Q1,2,February,Friday,No,Morning,06:00,14:00,0.853
2024-02-02,2024,Q1,2,February,Friday,No,Afternoon,14:00,22:00,0.853
2024-02-02,2024,Q1,2,February,Friday,No,Night,22:00,06:00,0.853
2024-02-03,2024,Q1,2,February,Saturday,Yes,Morning,06:00,14:00,0.854
2024-02-03,2024,Q1,2,February,Saturday,Yes,Afternoon,14:00,22:00,0.854
2024-02-03,2024,Q1,2,February,Saturday,Yes,Night,22:00,06:00,0.854
2024-02-04,2024,Q1,2,February,Sunday,Yes,Morning,06:00,14:00,0.384
2024-02-04,2024,Q1,2,February,Sunday,Yes,Afternoon,14:00,22:00,0.384
2024-02-04,2024,Q1,2,February,Sunday,Yes,Night,22:00,06:00,0.384
2024-02-05,2024,Q1,2,February,Monday,No,Morning,06:00,14:00,0.854
2024-02-05,2024,Q1,2,February,Monday,No,Afternoon,14:00,22:00,0.854
2024-02-05,2024,Q1,2,February,Monday,No,Night,22:00,06:00,0.854
2024-02-06,2024,Q1,2,February,Tuesday,No,Morning,06:00,14:00,0.854
2024-02-06,2024,Q1,2,February,Tuesday,No,Afternoon,14:00,22:00,0.854
2024-02-06,2024,Q1,2,February,Tuesday,No,Night,22:00,06:00,0.854
2024-02-07,2024,Q1,2,February,Wednesday,No,Morning,06:00,14:00,0.854
2024-02-07,2024,Q1,2,February,Wednesday,No,Afternoon,14:00,22:00,0.854
2024-02-07,2024,Q1,2,February,Wednesday,No,Night,22:00,06:00,0.854
2024-02-08,2024,Q1,2,February,Thursday,No,Morning,06:00,14:00,0.854
2024-02-08,2024,Q1,2,February,Thursday,No,Afternoon,14:00,22:00,0.854
2024-02-08,2024,Q1,2,February,Thursday,No,Night,22:00,06:00,0.854
2024-02-09,2024,Q1,2,February,Friday,No,Morning,06:00,14:00,0.854
2024-02-09,2024,Q1,2,February,Friday,No,Afternoon,14:00,22:00,0.854
2024-02-09,2024,Q1,2,February,Friday,No,Night,22:00,06:00,0.854
2024-02-10,2024,Q1,2,February,Saturday,Yes,Morning,06:00,14:00,0.854
2024-02-10,2024,Q1,2,February,Saturday,Yes,Afternoon,14:00,22:00,0.854
2024-02-10,2024,Q1,2,February,Saturday,Yes,Night,22:00,06:00,0.854
2024-02-11,2024,Q1,2,February,Sunday,Yes,Morning,06:00,14:00,0.384
2024-02-11,2024,Q1,2,February,Sunday,Yes,Afternoon,14:00,22:00,0.384
2024-02-11,2024,Q1,2,February,Sunday,Yes,Night,22:00,06:00,0.384
2024-02-12,2024,Q1,2,February,Monday,No,Morning,06:00,14:00,0.855
2024-02-12,2024,Q1,2,February,Monday,No,Afternoon,14:00,22:00,0.855
2024-02-12,2024,Q1,2,February,Monday,No,Night,22:00,06:00,0.855
2024-02-13,2024,Q1,2,February,Tuesday,No,Morning,06:00,14:00,0.855
2024-02-13,2024,Q1,2,February,Tuesday,No,Afternoon,14:00,22:00,0.855
2024-02-13,2024,Q1,2,February,Tuesday,No,Night,22:00,06:00,0.855
2024-02-14,2024,Q1,2,February,Wednesday,No,Morning,06:00,14:00,0.855
2024-02-14,2024,Q1,2,February,Wednesday,No,Afternoon,14:00,22:00,0.855
2024-02-14,2024,Q1,2,February,Wednesday,No,Night,22:00,06:00,0.855
2024-02-15,2024,Q1,2,February,Thursday,No,Morning,06:00,14:00,0.855
2024-02-15,2024,Q1,2,February,Thursday,No,Afternoon,14:00,22:00,0.855
2024-02-15,2024,Q1,2,February,Thursday,No,Night,22:00,06:00,0.855
2024-02-16,2024,Q1,2,February,Friday,No,Morning,06:00,14:00,0.855
2024-02-16,2024,Q1,2,February,Friday,No,Afternoon,14:00,22:00,0.855
2024-02-16,2024,Q1,2,February,Friday,No,Night,22:00,06:00,0.855
2024-02-17,2024,Q1,2,February,Saturday,Yes,Morning,06:00,14:00,0.855
2024-02-17,2024,Q1,2,February,Saturday,Yes,Afternoon,14:00,22:00,0.855
2024-02-17,2024,Q1,2,February,Saturday,Yes,Night,22:00,06:00,0.855
2024-02-18,2024,Q1,2,February,Sunday,Yes,Morning,06:00,14:00,0.385
2024-02-18,2024,Q1,2,February,Sunday,Yes,Afternoon,14:00,22:00,0.385
2024-02-18,2024,Q1,2,February,Sunday,Yes,Night,22:00,06:00,0.385
2024-02-19,2024,Q1,2,February,Monday,No,Morning,06:00,14:00,0.855
2024-02-19,2024,Q1,2,February,Monday,No,Afternoon,14:00,22:00,0.855
2024-02-19,2024,Q1,2,February,Monday,No,Night,22:00,06:00,0.855
2024-02-20,2024,Q1,2,February,Tuesday,No,Morning,06:00,14:00,0.855
2024-02-20,2024,Q1,2,February,Tuesday,No,Afternoon,14:00,22:00,0.855
2024-02-20,2024,Q1,2,February,Tuesday,No,Night,22:00,06:00,0.855
2024-02-21,2024,Q1,2,February,Wednesday,No,Morning,06:00,14:00,0.855
2024-02-21,2024,Q1,2,February,Wednesday,No,Afternoon,14:00,22:00,0.855
2024-02-21,2024,Q1,2,February,Wednesday,No,Night,22:00,06:00,0.855
2024-02-22,2024,Q1,2,February,Thursday,No,Morning,06:00,14:00,0.856
2024-02-22,2024,Q1,2,February,Thursday,No,Afternoon,14:00,22:00,0.856
2024-02-22,2024,Q1,2,February,Thursday,No,Night,22:00,06:00,0.856
2024-02-23,2024,Q1,2,February,Friday,No,Morning,06:00,14:00,0.856
2024-02-23,2024,Q1,2,February,Friday,No,Afternoon,14:00,22:00,0.856
2024-02-23,2024,Q1,2,February,Friday,No,Night,22:00,06:00,0.856
2024-02-24,2024,Q1,2,February,Saturday,Yes,Morning,06:00,14:00,0.856
2024-02-24,2024,Q1,2,February,Saturday,Yes,Afternoon,14:00,22:00,0.856
2024-02-24,2024,Q1,2,February,Saturday,Yes,Night,22:00,06:00,0.856
2024-02-25,2024,Q1,2,February,Sunday,Yes,Morning,06:00,14:00,0.385
2024-02-25,2024,Q1,2,February,Sunday,Yes,Afternoon,14:00,22:00,0.385
2024-02-25,2024,Q1,2,February,Sunday,Yes,Night,22:00,06:00,0.385
2024-02-26,2024,Q1,2,February,Monday,No,Morning,06:00,14:00,0.856
2024-02-26,2024,Q1,2,February,Monday,No,Afternoon,14:00,22:00,0.856
2024-02-26,2024,Q1,2,February,Monday,No,Night,22:00,06:00,0.856
2024-02-27,2024,Q1,2,February,Tuesday,No,Morning,06:00,14:00,0.856
2024-02-27,2024,Q1,2,February,Tuesday,No,Afternoon,14:00,22:00,0.856
2024-02-27,2024,Q1,2,February,Tuesday,No,Night,22:00,06:00,0.856
2024-02-28,2024,Q1,2,February,Wednesday,No,Morning,06:00,14:00,0.856
2024-02-28,2024,Q1,2,February,Wednesday,No,Afternoon,14:00,22:00,0.856
2024-02-28,2024,Q1,2,February,Wednesday,No,Night,22:00,06:00,0.856
2024-02-29,2024,Q1,2,February,Thursday,No,Morning,06:00,14:00,0.856
2024-02-29,2024,Q1,2,February,Thursday,No,Afternoon,14:00,22:00,0.856
2024-02-29,2024,Q1,2,February,Thursday,No,Night,22:00,06:00,0.856
2024-03-01,2024,Q1,3,March,Friday,No,Morning,06:00,14:00,1.008
2024-03-01,2024,Q1,3,March,Friday,No,Afternoon,14:00,22:00,1.008
2024-03-01,2024,Q1,3,March,Friday,No,Night,22:00,06:00,1.008
2024-03-02,2024,Q1,3,March,Saturday,Yes,Morning,06:00,14:00,1.008
2024-03-02,2024,Q1,3,March,Saturday,Yes,Afternoon,14:00,22:00,1.008
2024-03-02,2024,Q1,3,March,Saturday,Yes,Night,22:00,06:00,1.008
2024-03-03,2024,Q1,3,March,Sunday,Yes,Morning,06:00,14:00,0.453
2024-03-03,2024,Q1,3,March,Sunday,Yes,Afternoon,14:00,22:00,0.453
2024-03-03,2024,Q1,3,March,Sunday,Yes,Night,22:00,06:00,0.453
2024-03-04,2024,Q1,3,March,Monday,No,Morning,06:00,14:00,1.008
2024-03-04,2024,Q1,3,March,Monday,No,Afternoon,14:00,22:00,1.008
2024-03-04,2024,Q1,3,March,Monday,No,Night,22:00,06:00,1.008
2024-03-05,2024,Q1,3,March,Tuesday,No,Morning,06:00,14:00,1.008
2024-03-05,2024,Q1,3,March,Tuesday,No,Afternoon,14:00,22:00,1.008
2024-03-05,2024,Q1,3,March,Tuesday,No,Night,22:00,06:00,1.008
2024-03-06,2024,Q1,3,March,Wednesday,No,Morning,06:00,14:00,1.008
2024-03-06,2024,Q1,3,March,Wednesday,No,Afternoon,14:00,22:00,1.008
2024-03-06,2024,Q1,3,March,Wednesday,No,Night,22:00,06:00,1.008
2024-03-07,2024,Q1,3,March,Thursday,No,Morning,06:00,14:00,1.008
2024-03-07,2024,Q1,3,March,Thursday,No,Afternoon,14:00,22:00,1.008
2024-03-07,2024,Q1,3,March,Thursday,No,Night,22:00,06:00,1.008
2024-03-08,2024,Q1,3,March,Friday,No,Morning,06:00,14:00,1.008
2024-03-08,2024,Q1,3,March,Friday,No,Afternoon,14:00,22:00,1.008
2024-03-08,2024,Q1,3,March,Friday,No,Night,22:00,06:00,1.008
2024-03-09,2024,Q1,3,March,Saturday,Yes,Morning,06:00,14:00,1.009
2024-03-09,2024,Q1,3,March,Saturday,Yes,Afternoon,14:00,22:00,1.009
2024-03-09,2024,Q1,3,March,Saturday,Yes,Night,22:00,06:00,1.009
2024-03-10,2024,Q1,3,March,Sunday,Yes,Morning,06:00,14:00,0.454
2024-03-10,2024,Q1,3,March,Sunday,Yes,Afternoon,14:00,22:00,0.454
2024-03-10,2024,Q1,3,March,Sunday,Yes,Night,22:00,06:00,0.454
2024-03-11,2024,Q1,3,March,Monday,No,Morning,06:00,14:00,1.009
2024-03-11,2024,Q1,3,March,Monday,No,Afternoon,14:00,22:00,1.009
2024-03-11,2024,Q1,3,March,Monday,No,Night,22:00,06:00,1.009
2024-03-12,2024,Q1,3,March,Tuesday,No,Morning,06:00,14:00,1.009
2024-03-12,2024,Q1,3,March,Tuesday,No,Afternoon,14:00,22:00,1.009
2024-03-12,2024,Q1,3,March,Tuesday,No,Night,22:00,06:00,1.009
2024-03-13,2024,Q1,3,March,Wednesday,No,Morning,06:00,14:00,1.009
2024-03-13,2024,Q1,3,March,Wednesday,No,Afternoon,14:00,22:00,1.009
2024-03-13,2024,Q1,3,March,Wednesday,No,Night,22:00,06:00,1.009
2024-03-14,2024,Q1,3,March,Thursday,No,Morning,06:00,14:00,1.009
2024-03-14,2024,Q1,3,March,Thursday,No,Afternoon,14:00,22:00,1.009
2024-03-14,2024,Q1,3,March,Thursday,No,Night,22:00,06:00,1.009
2024-03-15,2024,Q1,3,March,Friday,No,Morning,06:00,14:00,1.009
2024-03-15,2024,Q1,3,March,Friday,No,Afternoon,14:00,22:00,1.009
2024-03-15,2024,Q1,3,March,Friday,No,Night,22:00,06:00,1.009
2024-03-16,2024,Q1,3,March,Saturday,Yes,Morning,06:00,14:00,1.009
2024-03-16,2024,Q1,3,March,Saturday,Yes,Afternoon,14:00,22:00,1.009
2024-03-16,2024,Q1,3,March,Saturday,Yes,Night,22:00,06:00,1.009
2024-03-17,2024,Q1,3,March,Sunday,Yes,Morning,06:00,14:00,0.454
2024-03-17,2024,Q1,3,March,Sunday,Yes,Afternoon,14:00,22:00,0.454
2024-03-17,2024,Q1,3,March,Sunday,Yes,Night,22:00,06:00,0.454
2024-03-18,2024,Q1,3,March,Monday,No,Morning,06:00,14:00,1.01
2024-03-18,2024,Q1,3,March,Monday,No,Afternoon,14:00,22:00,1.01
2024-03-18,2024,Q1,3,March,Monday,No,Night,22:00,06:00,1.01
2024-03-19,2024,Q1,3,March,Tuesday,No,Morning,06:00,14:00,1.01
2024-03-19,2024,Q1,3,March,Tuesday,No,Afternoon,14:00,22:00,1.01
2024-03-19,2024,Q1,3,March,Tuesday,No,Night,22:00,06:00,1.01
2024-03-20,2024,Q1,3,March,Wednesday,No,Morning,06:00,14:00,1.01
2024-03-20,2024,Q1,3,March,Wednesday,No,Afternoon,14:00,22:00,1.01
2024-03-20,2024,Q1,3,March,Wednesday,No,Night,22:00,06:00,1.01
2024-03-21,2024,Q1,3,March,Thursday,No,Morning,06:00,14:00,1.01
2024-03-21,2024,Q1,3,March,Thursday,No,Afternoon,14:00,22:00,1.01
2024-03-21,2024,Q1,3,March,Thursday,No,Night,22:00,06:00,1.01
2024-03-22,2024,Q1,3,March,Friday,No,Morning,06:00,14:00,1.01
2024-03-22,2024,Q1,3,March,Friday,No,Afternoon,14:00,22:00,1.01
2024-03-22,2024,Q1,3,March,Friday,No,Night,22:00,06:00,1.01
2024-03-23,2024,Q1,3,March,Saturday,Yes,Morning,06:00,14:00,1.01
2024-03-23,2024,Q1,3,March,Saturday,Yes,Afternoon,14:00,22:00,1.01
2024-03-23,2024,Q1,3,March,Saturday,Yes,Night,22:00,06:00,1.01
2024-03-24,2024,Q1,3,March,Sunday,Yes,Morning,06:00,14:00,0.455
2024-03-24,2024,Q1,3,March,Sunday,Yes,Afternoon,14:00,22:00,0.455
2024-03-24,2024,Q1,3,March,Sunday,Yes,Night,22:00,06:00,0.455
2024-03-25,2024,Q1,3,March,Monday,No,Morning,06:00,14:00,1.01
2024-03-25,2024,Q1,3,March,Monday,No,Afternoon,14:00,22:00,1.01
2024-03-25,2024,Q1,3,March,Monday,No,Night,22:00,06:00,1.01
2024-03-26,2024,Q1,3,March,Tuesday,No,Morning,06:00,14:00,1.011
2024-03-26,2024,Q1,3,March,Tuesday,No,Afternoon,14:00,22:00,1.011
2024-03-26,2024,Q1,3,March,Tuesday,No,Night,22:00,06:00,1.011
2024-03-27,2024,Q1,3,March,Wednesday,No,Morning,06:00,14:00,1.011
2024-03-27,2024,Q1,3,March,Wednesday,No,Afternoon,14:00,22:00,1.011
2024-03-27,2024,Q1,3,March,Wednesday,No,Night,22:00,06:00,1.011
2024-03-28,2024,Q1,3,March,Thursday,No,Morning,06:00,14:00,1.011
2024-03-28,2024,Q1,3,March,Thursday,No,Afternoon,14:00,22:00,1.011
2024-03-28,2024,Q1,3,March,Thursday,No,Night,22:00,06:00,1.011
2024-03-29,2024,Q1,3,March,Friday,No,Morning,06:00,14:00,1.011
2024-03-29,2024,Q1,3,March,Friday,No,Afternoon,14:00,22:00,1.011
2024-03-29,2024,Q1,3,March,Friday,No,Night,22:00,06:00,1.011
2024-03-30,2024,Q1,3,March,Saturday,Yes,Morning,06:00,14:00,1.011
2024-03-30,2024,Q1,3,March,Saturday,Yes,Afternoon,14:00,22:00,1.011
2024-03-30,2024,Q1,3,March,Saturday,Yes,Night,22:00,06:00,1.011
2024-03-31,2024,Q1,3,March,Sunday,Yes,Morning,06:00,14:00,0.455
2024-03-31,2024,Q1,3,March,Sunday,Yes,Afternoon,14:00,22:00,0.455
2024-03-31,2024,Q1,3,March,Sunday,Yes,Night,22:00,06:00,0.455
2024-04-01,2024,Q2,4,April,Monday,No,Morning,06:00,14:00,1.011
2024-04-01,2024,Q2,4,April,Monday,No,Afternoon,14:00,22:00,1.011
2024-04-01,2024,Q2,4,April,Monday,No,Night,22:00,06:00,1.011
2024-04-02,2024,Q2,4,April,Tuesday,No,Morning,06:00,14:00,1.011
2024-04-02,2024,Q2,4,April,Tuesday,No,Afternoon,14:00,22:00,1.011
2024-04-02,2024,Q2,4,April,Tuesday,No,Night,22:00,06:00,1.011
2024-04-03,2024,Q2,4,April,Wednesday,No,Morning,06:00,14:00,1.012
2024-04-03,2024,Q2,4,April,Wednesday,No,Afternoon,14:00,22:00,1.012
2024-04-03,2024,Q2,4,April,Wednesday,No,Night,22:00,06:00,1.012
2024-04-04,2024,Q2,4,April,Thursday,No,Morning,06:00,14:00,1.012
2024-04-04,2024,Q2,4,April,Thursday,No,Afternoon,14:00,22:00,1.012
2024-04-04,2024,Q2,4,April,Thursday,No,Night,22:00,06:00,1.012
2024-04-05,2024,Q2,4,April,Friday,No,Morning,06:00,14:00,1.012
2024-04-05,2024,Q2,4,April,Friday,No,Afternoon,14:00,22:00,1.012
2024-04-05,2024,Q2,4,April,Friday,No,Night,22:00,06:00,1.012
2024-04-06,2024,Q2,4,April,Saturday,Yes,Morning,06:00,14:00,1.012
2024-04-06,2024,Q2,4,April,Saturday,Yes,Afternoon,14:00,22:00,1.012
2024-04-06,2024,Q2,4,April,Saturday,Yes,Night,22:00,06:00,1.012
2024-04-07,2024,Q2,4,April,Sunday,Yes,Morning,06:00,14:00,0.455
2024-04-07,2024,Q2,4,April,Sunday,Yes,Afternoon,14:00,22:00,0.455
2024-04-07,2024,Q2,4,April,Sunday,Yes,Night,22:00,06:00,0.455
2024-04-08,2024,Q2,4,April,Monday,No,Morning,06:00,14:00,1.012
2024-04-08,2024,Q2,4,April,Monday,No,Afternoon,14:00,22:00,1.012
2024-04-08,2024,Q2,4,April,Monday,No,Night,22:00,06:00,1.012
2024-04-09,2024,Q2,4,April,Tuesday,No,Morning,06:00,14:00,1.012
2024-04-09,2024,Q2,4,April,Tuesday,No,Afternoon,14:00,22:00,1.012
2024-04-09,2024,Q2,4,April,Tuesday,No,Night,22:00,06:00,1.012
2024-04-10,2024,Q2,4,April,Wednesday,No,Morning,06:00,14:00,1.012
2024-04-10,2024,Q2,4,April,Wednesday,No,Afternoon,14:00,22:00,1.012
2024-04-10,2024,Q2,4,April,Wednesday,No,Night,22:00,06:00,1.012
2024-04-11,2024,Q2,4,April,Thursday,No,Morning,06:00,14:00,1.013
2024-04-11,2024,Q2,4,April,Thursday,No,Afternoon,14:00,22:00,1.013
2024-04-11,2024,Q2,4,April,Thursday,No,Night,22:00,06:00,1.013
2024-04-12,2024,Q2,4,April,Friday,No,Morning,06:00,14:00,1.013
2024-04-12,2024,Q2,4,April,Friday,No,Afternoon,14:00,22:00,1.013
2024-04-12,2024,Q2,4,April,Friday,No,Night,22:00,06:00,1.013
2024-04-13,2024,Q2,4,April,Saturday,Yes,Morning,06:00,14:00,1.013
2024-04-13,2024,Q2,4,April,Saturday,Yes,Afternoon,14:00,22:00,1.013
2024-04-13,2024,Q2,4,April,Saturday,Yes,Night,22:00,06:00,1.013
2024-04-14,2024,Q2,4,April,Sunday,Yes,Morning,06:00,14:00,0.456
2024-04-14,2024,Q2,4,April,Sunday,Yes,Afternoon,14:00,22:00,0.456
2024-04-14,2024,Q2,4,April,Sunday,Yes,Night,22:00,06:00,0.456
2024-04-15,2024,Q2,4,April,Monday,No,Morning,06:00,14:00,1.013
2024-04-15,2024,Q2,4,April,Monday,No,Afternoon,14:00,22:00,1.013
2024-04-15,2024,Q2,4,April,Monday,No,Night,22:00,06:00,1.013
2024-04-16,2024,Q2,4,April,Tuesday,No,Morning,06:00,14:00,1.013
2024-04-16,2024,Q2,4,April,Tuesday,No,Afternoon,14:00,22:00,1.013
2024-04-16,2024,Q2,4,April,Tuesday,No,Night,22:00,06:00,1.013
2024-04-17,2024,Q2,4,April,Wednesday,No,Morning,06:00,14:00,1.013
2024-04-17,2024,Q2,4,April,Wednesday,No,Afternoon,14:00,22:00,1.013
2024-04-17,2024,Q2,4,April,Wednesday,No,Night,22:00,06:00,1.013
2024-04-18,2024,Q2,4,April,Thursday,No,Morning,06:00,14:00,1.013
2024-04-18,2024,Q2,4,April,Thursday,No,Afternoon,14:00,22:00,1.013
2024-04-18,2024,Q2,4,April,Thursday,No,Night,22:00,06:00,1.013
2024-04-19,2024,Q2,4,April,Friday,No,Morning,06:00,14:00,1.014
2024-04-19,2024,Q2,4,April,Friday,No,Afternoon,14:00,22:00,1.014
2024-04-19,2024,Q2,4,April,Friday,No,Night,22:00,06:00,1.014
2024-04-20,2024,Q2,4,April,Saturday,Yes,Morning,06:00,14:00,1.014
